name,team,pos,rank
Victor Wembanyama,SA,C,1
Cooper Flagg,DAL,"SG,SF,PF",2
Shai Gilgeous-Alexander,OKC,PG,3
Nikola Jokic,DEN,C,4
Luka Doncic,LAL,"PG,SG",5
Cade Cunningham,DET,"PG,SG",6
Anthony Edwards,MIN,"PG,SG",7
Tyrese Maxey,PHI,PG,8
Jalen Johnson,ATL,"SF,PF",9
Scottie Barnes,TOR,"SF,PF,C",10
Jayson Tatum,BOS,"SF,PF",11
Amen Thompson,HOU,"PG,SG",13
Tyrese Haliburton,IND,"PG,SG",14
Dylan Harper,SA,"PG,SG",15
Cameron Boozer,MEM,PF,16
Alperen Sengün,HOU,"PF,C",17
Chet Holmgren,OKC,"PF,C",18
LaMelo Ball,MIN,PG,20
Brandon Miller,CHA,"SF,PF",21
Evan Mobley,CLE,"PF,C",22
Stephon Castle,SA,"PG,SG",23
Giannis Antetokounmpo,MIA,"PF,C",24
Deni Avdija,POR,"SG,SF,PF",25
AJ Dybantsa,WAS,SF,26
VJ Edgecombe,PHI,"PG,SG",27
Trey Murphy III,NO,"SG,SF",28
Caleb Wilson,CHI,PF,29
Donovan Mitchell,CLE,"PG,SG",30
Trae Young,WAS,PG,31
Paolo Banchero,ORL,PF,32
Darryn Peterson,UTA,SG,33
Jalen Brunson,NY,PG,34
Walker Kessler,LAL,C,35
Jalen Williams,OKC,"SF,PF",37
Josh Giddey,CHI,"PG,SG",38
Alexandre Sarr,WAS,C,39
Devin Booker,PHO,"PG,SG",40
Kon Knueppel,CHA,"SG,SF",41
Karl-Anthony Towns,NY,"PF,C",42
Austin Reaves,LAL,"PG,SG,SF",43
Jalen Duren,DET,C,44
Matas Buzelis,CHI,"SF,PF",45
Donovan Clingan,POR,C,46
Keyonte George,UTA,"PG,SG",47
Franz Wagner,ORL,"SF,PF",48
Jaylen Brown,PHI,"SG,SF,PF",49
Darius Garland,LAC,PG,50
Jaren Jackson Jr.,UTA,"PF,C",51
Lauri Markkanen,UTA,"SF,PF",52
Derik Queen,NO,"PF,C",53
Bam Adebayo,MIA,"PF,C",54
Collin Murray-Boyles,TOR,"PF,C",55
Onyeka Okongwu,ATL,C,56
Jamal Murray,DEN,PG,57
Ausar Thompson,DET,"SG,SF,PF",58
OG Anunoby,NY,"SF,PF",59
Dyson Daniels,ATL,"SG,SF",60
Jaden McDaniels,MIN,SF,61
Ace Bailey,UTA,"SF,PF",62
Zach Edey,MEM,C,63
De'Aaron Fox,SA,PG,64
Zion Williamson,NO,"PF,C",65
Tyler Herro,MIL,"PG,SG",67
Mikel Brown Jr.,BKN,PG,68
Brandon Ingram,LAC,"SG,SF,PF",69
Desmond Bane,ORL,"SG,SF",70
Kevin Durant,HOU,"SG,SF,PF",71
Cason Wallace,OKC,"PG,SG,SF",72
Domantas Sabonis,SAC,"PF,C",73
Stephen Curry,GS,PG,74
Keaton Wagler,LAC,SG,75
Ivica Zubac,IND,C,76
Pascal Siakam,IND,"PF,C",77
Kel'el Ware,MIL,C,78
Ja Morant,POR,PG,79
Brayden Burries,MIL,SG,80
Derrick White,BOS,"PG,SG",81
Egor Demin,BKN,"PG,SG",82
Jabari Smith Jr.,HOU,"PF,C",83
Anthony Davis,WAS,"PF,C",84
Anthony Black,ORL,"PG,SG,SF",85
Kawhi Leonard,TOR,"SG,SF,PF",86
Jeremiah Fears,NO,"PG,SG",87
Darius Acuff Jr.,SAC,PG,88
Michael Porter Jr.,BKN,"SF,PF",89
Dejounte Murray,NO,PG,90
RJ Barrett,TOR,"SG,SF,PF",91
Kyshawn George,WAS,"SG,SF,PF",92
James Harden,CLE,"PG,SG",93
Cedric Coward,MEM,"SG,SF",94
Naz Reid,CHA,"PF,C",95
Ayo Dosunmu,MIN,"PG,SG",96
Yaxel Lendeborg,GS,PF,97
Jalen Suggs,ORL,"PG,SG",98
Shaedon Sharpe,POR,"PG,SG",99
Kingston Flemings,ATL,PG,100
Jarrett Allen,CLE,C,101
Reed Sheppard,HOU,"PG,SG",102
Immanuel Quickley,TOR,"PG,SG",103
Scoot Henderson,POR,PG,104
Josh Hart,NY,"SG,SF",105
Kyrie Irving,DAL,PG,106
Mikal Bridges,NY,"SF,PF",107
Isaiah Hartenstein,OKC,C,108
Nicolas Claxton,CHI,C,109
Jalen Green,PHO,"SG,SF",110
Tre Johnson,WAS,"PG,SG,SF",111
Morez Johnson Jr.,DAL,PF,112
Joel Embiid,PHI,C,113
Julius Randle,BKN,PF,114
Maxime Raynaud,SAC,C,115
Labaron Philon Jr.,PHI,PG,116
Hannes Steinbach,CHA,PF,117
Devin Vassell,SA,"SG,SF",118
Myles Turner,MIL,C,119
Jared McCain,OKC,"PG,SG",120
Dereck Lively II,DAL,C,121
Christian Braun,DEN,"SG,SF,PF",122
Santi Aldama,DAL,PF,123
Jimmy Butler,GS,"SF,PF",125
Coby White,CHA,"PG,SG",126
Brandin Podziemski,GS,"PG,SG",127
Miles Bridges,PHO,PF,128
Herbert Jones,NO,"SG,SF",129
Peyton Watson,CLE,"SF,PF",132
Cameron Carr,LAL,SG,134
Ajay Mitchell,OKC,"PG,SG",135
Keegan Murray,SAC,"SF,PF",136
Tari Eason,HOU,"SG,SF,PF",139
Moussa Diabaté,CHA,C,140
Yanic Konan Niederhauser,LAC,C,141
Fred VanVleet,HOU,PG,142
Khaman Maluach,PHO,C,143
Rudy Gobert,MIN,C,144
Andrew Nembhard,IND,"PG,SG",145
Day'Ron Sharpe,BKN,C,146
LeBron James,PHI,"SF,PF",147
Isaiah Collier,UTA,"PG,SG",148
Aday Mara,OKC,C,149
Mark Williams,PHO,C,151
Jaylen Wells,MEM,"SG,SF",152
Dailyn Swain,CHI,SF,153
Christian Anderson,CHA,PG,154
P.J. Washington,DAL,"PF,C",155
Carter Bryant,SA,"SF,PF",156
Daniss Jenkins,DET,"PG,SG",157
Allen Graves,TOR,PF,158
Jaime Jaquez Jr.,MIL,"SG,SF,PF",159
Bilal Coulibaly,WAS,"SG,SF",160
John Collins,DET,"PF,C",161
Joshua Jefferson,BKN,PF,162
Karim Lopez,MEM,SF,163
Zaccharie Risacher,DAL,"SF,PF",164
