name,team,pos,rank
Victor Wembanyama,SA,C,1
Shai Gilgeous-Alexander,OKC,PG,2
Luka Doncic,LAL,"PG,SG",3
Nikola Jokic,DEN,C,4
Cade Cunningham,DET,"PG,SG",5
Cooper Flagg,DAL,"SG,SF,PF",6
Anthony Edwards,MIN,"PG,SG",7
Tyrese Maxey,PHI,PG,8
Cameron Boozer,MEM,PF,9
Jalen Johnson,ATL,"SF,PF",10
Jayson Tatum,BOS,"SF,PF",11
Scottie Barnes,TOR,"SF,PF,C",12
Tyrese Haliburton,IND,"PG,SG",13
Chet Holmgren,OKC,"PF,C",14
Evan Mobley,CLE,"PF,C",15
Alperen Sengün,HOU,"PF,C",16
Dylan Harper,SA,"PG,SG",17
Donovan Mitchell,CLE,"PG,SG",18
Jalen Williams,OKC,"SF,PF",19
Giannis Antetokounmpo,MIA,"PF,C",20
Amen Thompson,HOU,"PG,SG",21
Austin Reaves,LAL,"PG,SG,SF",22
Trey Murphy III,NO,"SG,SF",23
Devin Booker,PHO,"PG,SG",24
Kon Knueppel,CHA,"SG,SF",25
Caleb Wilson,CHI,PF,26
Karl-Anthony Towns,NY,"PF,C",27
Darryn Peterson,UTA,SG,28
Trae Young,WAS,PG,29
Franz Wagner,ORL,"SF,PF",30
Alexandre Sarr,WAS,C,31
Jamal Murray,DEN,PG,32
Josh Giddey,CHI,"PG,SG",33
Jalen Duren,DET,C,34
Jaren Jackson Jr.,UTA,"PF,C",35
Deni Avdija,POR,"SG,SF,PF",36
AJ Dybantsa,WAS,SF,37
Jalen Brunson,NY,PG,38
LaMelo Ball,MIN,PG,40
Matas Buzelis,CHI,"SF,PF",41
Darius Garland,LAC,PG,42
Stephon Castle,SA,"PG,SG",43
Brandon Miller,CHA,"SF,PF",44
Bam Adebayo,MIA,"PF,C",46
Paolo Banchero,ORL,PF,47
Donovan Clingan,POR,C,48
VJ Edgecombe,PHI,"PG,SG",49
Jaylen Brown,PHI,"SG,SF,PF",50
Keyonte George,UTA,"PG,SG",51
Anthony Davis,WAS,"PF,C",52
Tyler Herro,MIL,"PG,SG",53
Lauri Markkanen,UTA,"SF,PF",54
Zach Edey,MEM,C,55
De'Aaron Fox,SA,PG,56
Mikel Brown Jr.,BKN,PG,58
Darius Acuff Jr.,SAC,PG,59
Onyeka Okongwu,ATL,C,60
Pascal Siakam,IND,"PF,C",61
Keaton Wagler,LAC,SG,62
Ivica Zubac,IND,C,63
Domantas Sabonis,SAC,"PF,C",64
James Harden,CLE,"PG,SG",65
Stephen Curry,GS,PG,66
Desmond Bane,ORL,"SG,SF",67
Walker Kessler,LAL,C,68
Nickeil Alexander-Walker,ATL,"PG,SG",69
Kel'el Ware,MIL,C,70
OG Anunoby,NY,"SF,PF",71
Michael Porter Jr.,BKN,"SF,PF",72
Keegan Murray,SAC,"SF,PF",73
Derrick White,BOS,"PG,SG",74
Naz Reid,CHA,"PF,C",75
Kevin Durant,HOU,"SG,SF,PF",76
Jaden McDaniels,MIN,SF,77
Collin Murray-Boyles,TOR,"PF,C",78
Brandon Ingram,LAC,"SG,SF,PF",79
Derik Queen,NO,"PF,C",80
Zion Williamson,NO,"PF,C",81
Brayden Burries,MIL,SG,82
Kingston Flemings,ATL,PG,83
Ja Morant,POR,PG,84
Reed Sheppard,HOU,"PG,SG",85
