combined_rank,player,pos,team,value,blended_score,dynasty_rank,keeper_rank,current_rank,current_value,sources_matched
1,Victor Wembanyama,C,SAS,100.0,1.0,1,1,2,87.7,2
2,Shai Gilgeous-Alexander,G,OKC,87.7,2.33,2,3,4,75.5,2
3,Luka Dončić,G,LAL,80.6,3.66,3,5,3,80.6,2
4,Nikola Jokić,C,DEN,75.5,4.0,4,4,1,100.0,2
5,Cooper Flagg,"G,F",DAL,71.6,4.68,6,2,33,39.1,2
6,Cade Cunningham,G,DET,68.4,5.33,5,6,6,68.4,2
7,Anthony Edwards,G,MIN,65.8,7.0,7,7,7,65.8,2
8,Tyrese Maxey,G,PHI,63.4,8.0,8,8,8,63.4,2
9,Jalen Johnson,F,ATL,61.4,9.67,10,9,19,48.5,2
10,Jayson Tatum,F,BOS,59.6,11.0,11,11,127,16.3,2
11,Cameron Boozer,F,MEM,57.9,11.31,9,16,169,11.5,2
12,Scottie Barnes,"F,C",TOR,56.4,11.34,12,10,18,49.4,2
13,Tyrese Haliburton,G,IND,55.0,13.33,13,14,122,16.9,2
14,Chet Holmgren,"F,C",OKC,53.8,15.32,14,18,40,35.8,2
15,Alperen Şengün,"F,C",HOU,52.6,16.33,16,17,9,61.4,2
16,Dylan Harper,G,SAS,51.5,16.34,17,15,154,13.0,2
17,Evan Mobley,"F,C",CLE,50.4,17.31,15,22,28,41.9,2
18,Amen Thompson,G,HOU,49.4,19.7,23,13,37,37.1,2
19,Donovan Mitchell,G,CLE,48.5,21.96,18,30,11,57.9,2
20,Giannis Antetokounmpo,"F,C",MIA,47.6,21.99,21,24,5,71.6,2
21,Trey Murphy III,"G,F",NOP,46.8,23.98,22,28,50,32.0,2
22,Darryn Peterson,G,UTA,46.0,24.29,20,33,165,11.9,2
23,Jalen Williams,F,OKC,45.2,25.27,19,38,34,38.5,2
24,Trae Young,G,WAS,44.5,26.98,25,31,13,55.0,2
25,Austin Reaves,"G,F",LAL,43.8,30.6,24,44,39,36.2,2
26,Devin Booker,G,PHX,43.1,30.62,26,40,23,45.2,2
27,Karl-Anthony Towns,"F,C",NYK,42.5,31.95,27,42,21,46.8,2
28,Kon Knueppel,"G,F",CHA,41.9,32.29,28,41,123,16.8,2
29,Caleb Wilson,F,CHI,41.3,32.35,34,29,146,13.9,2
30,Deni Avdija,"G,F",POR,40.7,32.37,36,25,38,36.6,2
31,LaMelo Ball,G,MIN,40.1,32.73,39,20,17,50.4,2
32,Alex Sarr,C,WAS,39.6,32.97,30,39,71,26.0,2
33,AJ Dybantsa,F,WAS,39.1,33.37,37,26,167,11.7,2
34,Josh Giddey,G,CHI,38.5,33.65,32,37,16,51.5,2
35,Stephon Castle,G,SAS,38.0,35.06,41,23,66,27.3,2
36,Franz Wagner,F,ORL,37.6,35.27,29,48,43,34.5,2
37,Brandon Miller,F,CHA,37.1,35.74,43,21,55,30.4,2
38,Jalen Duren,C,DET,36.6,36.3,33,43,65,27.5,2
39,Jalen Brunson,G,NYK,36.2,36.68,38,34,15,52.6,2
40,Jamal Murray,G,DEN,35.8,39.91,31,58,31,40.1,2
41,Jaren Jackson Jr.,"F,C",UTA,35.4,40.28,35,51,42,34.9,2
42,VJ Edgecombe,G,PHI,34.9,40.4,47,27,112,18.4,2
43,Paolo Banchero,F,ORL,34.5,41.38,46,32,12,56.4,2
44,Matas Buzelis,F,CHI,34.2,42.99,42,45,88,22.4,2
45,Darius Garland,G,LAC,33.8,43.3,40,50,52,31.3,2
46,Donovan Clingan,C,POR,33.4,45.33,45,46,74,25.4,2
47,Bam Adebayo,"F,C",MIA,33.0,47.3,44,54,24,44.5,2
48,Jaylen Brown,"G,F",PHI,32.7,48.33,48,49,26,43.1,2
49,Keyonte George,G,UTA,32.3,48.34,49,47,73,25.6,2
50,Lauri Markkanen,F,UTA,32.0,52.0,52,52,53,31.0,2
51,Walker Kessler,C,LAL,31.6,55.1,65,35,46,33.4,2
52,Tyler Herro,G,MIL,31.3,55.95,51,66,45,33.8,2
53,Onyeka Okongwu,C,ATL,31.0,56.67,57,56,86,22.8,2
54,Zach Edey,C,MEM,30.7,56.96,53,65,70,26.3,2
55,De'Aaron Fox,G,SAS,30.4,58.29,54,67,30,40.7,2
56,Mikel Brown Jr.,G,BKN,30.1,59.29,55,68,322,0.8,2
57,Anthony Davis,"F,C",WAS,29.8,61.55,50,85,10,59.6,2
58,Keaton Wagler,G,LAC,29.5,63.61,58,75,296,2.2,2
59,Pascal Siakam,"F,C",IND,29.2,64.61,59,76,36,37.6,2
60,Domantas Sabonis,"F,C",SAC,28.9,64.96,61,73,27,42.5,2
61,OG Anunoby,F,NYK,28.6,65.36,68,60,79,24.2,2
62,Desmond Bane,"G,F",ORL,28.3,65.98,64,70,44,34.2,2
63,Ivica Zubac,C,IND,28.1,66.27,60,79,61,28.6,2
64,Darius Acuff Jr.,G,SAC,27.8,66.56,56,88,153,13.1,2
65,Stephen Curry,G,GSW,27.5,66.63,63,74,25,43.8,2
66,Derik Queen,"F,C",NOP,27.3,68.41,76,53,144,14.2,2
67,Jaden McDaniels,F,MIN,27.0,69.71,74,61,103,19.8,2
68,James Harden,G,CLE,26.8,71.24,62,90,20,47.6,2
69,Kel'el Ware,C,MIL,26.5,71.62,67,81,108,19.0,2
70,Collin Murray-Boyles,"F,C",TOR,26.3,72.42,81,55,305,1.7,2
71,Kevin Durant,"G,F",HOU,26.0,72.67,73,72,22,46.0,2
72,Zion Williamson,"F,C",NOP,25.8,72.71,77,64,35,38.0,2
73,Brandon Ingram,"G,F",TOR,25.6,73.02,75,69,58,29.5,2
74,Derrick White,G,BOS,25.4,73.97,71,80,47,33.0,2
75,Michael Porter Jr.,F,BKN,25.1,76.26,69,91,72,25.8,2
76,Ja Morant,G,POR,24.9,77.03,80,71,32,39.6,2
77,Brayden Burries,G,MIL,24.7,78.0,78,78,306,1.6,2
78,Naz Reid,"F,C",CHA,24.5,79.92,72,96,91,21.9,2
